"acfrequency";"number";"r Ganho";"i Ganho"
2.64241e+08;1;0.292876;0
2.66073e+08;1;0.296806;0
2.67917e+08;1;0.300786;0
2.69774e+08;1;0.304818;0
2.71644e+08;1;0.3089;0
2.73527e+08;1;0.313035;0
2.75423e+08;1;0.317222;0
2.77332e+08;1;0.321462;0
2.79254e+08;1;0.325755;0
2.8119e+08;1;0.330103;0
2.83139e+08;1;0.334505;0
2.85102e+08;1;0.338963;0
2.87078e+08;1;0.343476;0
2.89068e+08;1;0.348046;0
2.91072e+08;1;0.352673;0
2.93089e+08;1;0.357358;0
2.95121e+08;1;0.362101;0
2.97167e+08;1;0.366902;0
2.99226e+08;1;0.371763;0
3.01301e+08;1;0.376684;0
3.03389e+08;1;0.381665;0
3.05492e+08;1;0.386707;0
3.0761e+08;1;0.391811;0
3.09742e+08;1;0.396978;0
3.11889e+08;1;0.402207;0
3.14051e+08;1;0.407499;0
3.16228e+08;1;0.412855;0
3.1842e+08;1;0.418276;0
3.20627e+08;1;0.423762;0
3.22849e+08;1;0.429313;0
3.25087e+08;1;0.434931;0
3.27341e+08;1;0.440616;0
3.2961e+08;1;0.446367;0
3.31894e+08;1;0.452187;0
3.34195e+08;1;0.458074;0
3.36512e+08;1;0.464031;0
3.38844e+08;1;0.470057;0
3.41193e+08;1;0.476153;0
3.43558e+08;1;0.482319;0
3.45939e+08;1;0.488556;0
3.48337e+08;1;0.494865;0
3.50752e+08;1;0.501245;0
3.53183e+08;1;0.507698;0
3.55631e+08;1;0.514223;0
3.58096e+08;1;0.520821;0
3.60579e+08;1;0.527493;0
3.63078e+08;1;0.534238;0
3.65595e+08;1;0.541058;0
3.68129e+08;1;0.547953;0
3.70681e+08;1;0.554922;0
3.7325e+08;1;0.561967;0
3.75837e+08;1;0.569088;0
3.78443e+08;1;0.576284;0
3.81066e+08;1;0.583556;0
3.83707e+08;1;0.590904;0
3.86367e+08;1;0.59833;0
3.89045e+08;1;0.605831;0
3.91742e+08;1;0.61341;0
3.94457e+08;1;0.621065;0
3.97192e+08;1;0.628797;0
3.99945e+08;1;0.636606;0
4.02717e+08;1;0.644492;0
4.05509e+08;1;0.652455;0
4.08319e+08;1;0.660494;0
4.1115e+08;1;0.668611;0
4.14e+08;1;0.676803;0
4.16869e+08;1;0.685072;0
4.19759e+08;1;0.693417;0
4.22669e+08;1;0.701837;0
4.25598e+08;1;0.710332;0
4.28549e+08;1;0.718902;0
4.31519e+08;1;0.727546;0
4.3451e+08;1;0.736263;0
4.37522e+08;1;0.745054;0
4.40555e+08;1;0.753916;0
4.43609e+08;1;0.76285;0
4.46684e+08;1;0.771854;0
4.4978e+08;1;0.780927;0
4.52898e+08;1;0.790069;0
4.56037e+08;1;0.799278;0
4.59198e+08;1;0.808553;0
4.62381e+08;1;0.817892;0
4.65586e+08;1;0.827295;0
4.68813e+08;1;0.836758;0
4.72063e+08;1;0.846282;0
4.75335e+08;1;0.855864;0
4.7863e+08;1;0.865502;0
4.81948e+08;1;0.875193;0
4.85289e+08;1;0.884937;0
4.88652e+08;1;0.89473;0
4.9204e+08;1;0.904569;0
4.9545e+08;1;0.914454;0
4.98884e+08;1;0.924379;0
5.02343e+08;1;0.934343;0
5.05825e+08;1;0.944342;0
5.09331e+08;1;0.954374;0
5.12861e+08;1;0.964433;0
5.16416e+08;1;0.974518;0
5.19996e+08;1;0.984623;0
5.236e+08;1;0.994745;0
5.2723e+08;1;1.00488;0
5.30884e+08;1;1.01502;0
5.34564e+08;1;1.02516;0
5.3827e+08;1;1.03531;0
5.42001e+08;1;1.04544;0
5.45758e+08;1;1.05556;0
5.49541e+08;1;1.06566;0
5.5335e+08;1;1.07574;0
5.57186e+08;1;1.08578;0
5.61048e+08;1;1.09579;0
5.64937e+08;1;1.10575;0
5.68853e+08;1;1.11565;0
5.72796e+08;1;1.1255;0
