"acfrequency";"number";"r Zin";"i Zin"
2.6485e+09;1;0.3711;-8.12615
2.65461e+09;1;0.3711;-8.086
2.66073e+09;1;0.3711;-8.0459
2.66686e+09;1;0.3711;-8.00584
2.67301e+09;1;0.3711;-7.96582
2.67917e+09;1;0.3711;-7.92584
2.68534e+09;1;0.3711;-7.8859
2.69153e+09;1;0.3711;-7.84601
2.69774e+09;1;0.3711;-7.80616
2.70396e+09;1;0.3711;-7.76635
2.71019e+09;1;0.3711;-7.72658
2.71644e+09;1;0.3711;-7.68685
2.7227e+09;1;0.3711;-7.64716
2.72898e+09;1;0.3711;-7.60752
2.73527e+09;1;0.3711;-7.56791
2.74157e+09;1;0.3711;-7.52834
2.74789e+09;1;0.3711;-7.48882
2.75423e+09;1;0.3711;-7.44933
2.76058e+09;1;0.3711;-7.40988
2.76694e+09;1;0.3711;-7.37048
2.77332e+09;1;0.3711;-7.33111
2.77971e+09;1;0.3711;-7.29178
2.78612e+09;1;0.3711;-7.25248
2.79254e+09;1;0.3711;-7.21323
2.79898e+09;1;0.3711;-7.17402
2.80543e+09;1;0.3711;-7.13484
2.8119e+09;1;0.3711;-7.0957
2.81838e+09;1;0.3711;-7.0566
2.82488e+09;1;0.3711;-7.01754
2.83139e+09;1;0.3711;-6.97851
2.83792e+09;1;0.3711;-6.93952
2.84446e+09;1;0.3711;-6.90057
2.85102e+09;1;0.3711;-6.86165
2.85759e+09;1;0.3711;-6.82277
2.86418e+09;1;0.3711;-6.78393
2.87078e+09;1;0.3711;-6.74512
2.8774e+09;1;0.3711;-6.70635
2.88403e+09;1;0.3711;-6.66761
2.89068e+09;1;0.3711;-6.62891
2.89734e+09;1;0.3711;-6.59024
2.90402e+09;1;0.3711;-6.55161
2.91072e+09;1;0.3711;-6.51302
2.91743e+09;1;0.3711;-6.47446
2.92415e+09;1;0.3711;-6.43593
2.93089e+09;1;0.3711;-6.39743
2.93765e+09;1;0.3711;-6.35898
2.94442e+09;1;0.3711;-6.32055
2.95121e+09;1;0.3711;-6.28216
2.95801e+09;1;0.3711;-6.2438
2.96483e+09;1;0.3711;-6.20547
2.97167e+09;1;0.3711;-6.16718
2.97852e+09;1;0.3711;-6.12892
2.98538e+09;1;0.3711;-6.09069
2.99226e+09;1;0.3711;-6.0525
2.99916e+09;1;0.3711;-6.01433
