"acfrequency";"r Ganho";"i Ganho"
4.27563e+06;1;-0.00420383
4.28549e+06;1;-0.00421352
4.29536e+06;1;-0.00422323
4.30527e+06;1;-0.00423297
4.31519e+06;1;-0.00424272
4.32514e+06;1;-0.0042525
4.33511e+06;1;-0.00426231
4.3451e+06;1;-0.00427213
4.35512e+06;1;-0.00428198
4.36516e+06;1;-0.00429185
4.37522e+06;1;-0.00430175
4.38531e+06;1;-0.00431167
4.39542e+06;1;-0.00432161
4.40555e+06;1;-0.00433157
4.4157e+06;1;-0.00434155
4.42588e+06;1;-0.00435156
4.43609e+06;1;-0.00436159
4.44631e+06;1;-0.00437165
4.45656e+06;1;-0.00438173
4.46684e+06;1;-0.00439183
4.47713e+06;1;-0.00440195
4.48745e+06;1;-0.0044121
4.4978e+06;1;-0.00442227
4.50817e+06;1;-0.00443247
4.51856e+06;1;-0.00444269
4.52898e+06;1;-0.00445293
4.53942e+06;1;-0.00446319
4.54988e+06;1;-0.00447348
4.56037e+06;1;-0.00448379
4.57088e+06;1;-0.00449413
4.58142e+06;1;-0.00450449
4.59198e+06;1;-0.00451488
4.60257e+06;1;-0.00452528
4.61318e+06;1;-0.00453572
4.62381e+06;1;-0.00454617
4.63447e+06;1;-0.00455665
4.64515e+06;1;-0.00456716
4.65586e+06;1;-0.00457769
4.66659e+06;1;-0.00458824
4.67735e+06;1;-0.00459882
4.68813e+06;1;-0.00460942
4.69894e+06;1;-0.00462005
4.70977e+06;1;-0.0046307
4.72063e+06;1;-0.00464137
4.73151e+06;1;-0.00465207
4.74242e+06;1;-0.0046628
4.75335e+06;1;-0.00467355
4.76431e+06;1;-0.00468432
4.77529e+06;1;-0.00469512
4.7863e+06;1;-0.00470594
4.79733e+06;1;-0.00471679
4.80839e+06;1;-0.00472767
4.81948e+06;1;-0.00473856
4.83059e+06;1;-0.00474949
4.84172e+06;1;-0.00476044
4.85289e+06;1;-0.00477141
4.86407e+06;1;-0.00478241
4.87528e+06;1;-0.00479344
4.88652e+06;1;-0.00480449
4.89779e+06;1;-0.00481556
4.90908e+06;1;-0.00482667
4.9204e+06;1;-0.00483779
4.93174e+06;1;-0.00484894
4.94311e+06;1;-0.00486012
4.9545e+06;1;-0.00487133
4.96592e+06;1;-0.00488256
4.97737e+06;1;-0.00489381
4.98884e+06;1;-0.0049051
5.00035e+06;1;-0.0049164
5.01187e+06;1;-0.00492774
5.02343e+06;1;-0.0049391
5.03501e+06;1;-0.00495048
5.04661e+06;1;-0.0049619
5.05825e+06;1;-0.00497334
5.06991e+06;1;-0.0049848
5.08159e+06;1;-0.00499629
5.09331e+06;1;-0.00500781
5.10505e+06;1;-0.00501936
5.11682e+06;1;-0.00503093
5.12861e+06;1;-0.00504253
5.14044e+06;1;-0.00505415
5.15229e+06;1;-0.0050658
5.16416e+06;1;-0.00507748
5.17607e+06;1;-0.00508919
5.188e+06;1;-0.00510092
5.19996e+06;1;-0.00511268
5.21195e+06;1;-0.00512446
5.22396e+06;1;-0.00513628
5.236e+06;1;-0.00514812
5.24807e+06;1;-0.00515999
5.26017e+06;1;-0.00517188
5.2723e+06;1;-0.00518381
5.28445e+06;1;-0.00519576
5.29663e+06;1;-0.00520773
5.30884e+06;1;-0.00521974
5.32108e+06;1;-0.00523177
5.33335e+06;1;-0.00524384
5.34564e+06;1;-0.00525592
5.35797e+06;1;-0.00526804
5.37032e+06;1;-0.00528019
5.3827e+06;1;-0.00529236
5.39511e+06;1;-0.00530456
5.40754e+06;1;-0.00531679
5.42001e+06;1;-0.00532905
5.4325e+06;1;-0.00534133
5.44503e+06;1;-0.00535364
5.45758e+06;1;-0.00536599
5.47016e+06;1;-0.00537836
5.48277e+06;1;-0.00539076
5.49541e+06;1;-0.00540318
5.50808e+06;1;-0.00541564
5.52077e+06;1;-0.00542813
5.5335e+06;1;-0.00544064
5.54626e+06;1;-0.00545318
5.55904e+06;1;-0.00546575
5.57186e+06;1;-0.00547835
5.5847e+06;1;-0.00549098
5.59758e+06;1;-0.00550364
5.61048e+06;1;-0.00551633
5.62341e+06;1;-0.00552905
5.63638e+06;1;-0.0055418
5.64937e+06;1;-0.00555457
5.66239e+06;1;-0.00556738
5.67545e+06;1;-0.00558021
5.68853e+06;1;-0.00559308
5.70164e+06;1;-0.00560597
5.71479e+06;1;-0.00561889
5.72796e+06;1;-0.00563185
5.74116e+06;1;-0.00564483
5.7544e+06;1;-0.00565785
5.76766e+06;1;-0.00567089
5.78096e+06;1;-0.00568396
5.79429e+06;1;-0.00569707
5.80764e+06;1;-0.0057102
5.82103e+06;1;-0.00572336
5.83445e+06;1;-0.00573656
5.8479e+06;1;-0.00574978
