"acfrequency";"r Z";"i Z"
2.60008e+08;1.93528;5.37832
2.60607e+08;1.93804;5.39046
2.61208e+08;1.94081;5.40263
2.6181e+08;1.94359;5.41483
2.62414e+08;1.94638;5.42705
2.63019e+08;1.94919;5.4393
2.63625e+08;1.952;5.45157
2.64233e+08;1.95483;5.46387
2.64842e+08;1.95768;5.4762
2.65452e+08;1.96053;5.48855
2.66064e+08;1.9634;5.50093
2.66678e+08;1.96629;5.51334
2.67293e+08;1.96918;5.52577
2.67909e+08;1.97209;5.53823
2.68526e+08;1.97501;5.55072
2.69145e+08;1.97795;5.56323
2.69766e+08;1.9809;5.57577
2.70388e+08;1.98386;5.58834
2.71011e+08;1.98684;5.60094
2.71636e+08;1.98982;5.61356
2.72262e+08;1.99283;5.62621
2.7289e+08;1.99584;5.63888
2.73519e+08;1.99887;5.65159
2.74149e+08;2.00192;5.66432
2.74781e+08;2.00497;5.67708
2.75415e+08;2.00805;5.68986
2.7605e+08;2.01113;5.70267
2.76686e+08;2.01423;5.71551
2.77324e+08;2.01734;5.72838
2.77963e+08;2.02047;5.74128
2.78604e+08;2.02361;5.7542
2.79246e+08;2.02677;5.76715
2.7989e+08;2.02994;5.78013
2.80535e+08;2.03312;5.79313
2.81182e+08;2.03632;5.80617
2.8183e+08;2.03953;5.81923
2.8248e+08;2.04276;5.83232
2.83131e+08;2.046;5.84544
2.83784e+08;2.04926;5.85858
2.84438e+08;2.05253;5.87176
2.85094e+08;2.05582;5.88496
2.85751e+08;2.05912;5.89819
2.8641e+08;2.06244;5.91145
2.8707e+08;2.06577;5.92473
2.87732e+08;2.06911;5.93805
2.88395e+08;2.07248;5.95139
2.8906e+08;2.07585;5.96476
2.89726e+08;2.07924;5.97816
2.90394e+08;2.08265;5.99159
2.91063e+08;2.08607;6.00504
2.91734e+08;2.08951;6.01853
2.92407e+08;2.09297;6.03204
2.93081e+08;2.09644;6.04559
2.93757e+08;2.09992;6.05916
2.94434e+08;2.10342;6.07276
2.95113e+08;2.10694;6.08639
2.95793e+08;2.11047;6.10004
2.96475e+08;2.11402;6.11373
