"acfrequency";"r Z";"i Z"
2.25416e+08;-3.17051;-12.1698
2.25936e+08;-3.1766;-12.1956
2.26457e+08;-3.18035;-12.2094
2.26979e+08;-3.22358;-12.2533
2.27502e+08;-3.19329;-12.2606
2.28026e+08;-3.19949;-12.2865
2.28552e+08;-3.24353;-12.3302
2.29079e+08;-3.21325;-12.3374
2.29607e+08;-3.27252;-12.3391
2.30136e+08;-3.29136;-12.398
2.30667e+08;-3.29901;-12.4232
2.31199e+08;-3.30412;-12.4502
2.31732e+08;-3.31247;-12.475
2.32266e+08;-3.31893;-12.5012
2.32801e+08;-3.35681;-12.5294
2.33338e+08;-3.36269;-12.5561
2.33876e+08;-3.39118;-12.5554
2.34415e+08;-3.37711;-12.6079
2.34955e+08;-3.38437;-12.6339
2.35497e+08;-3.43967;-12.624
2.3604e+08;-3.42977;-12.6882
2.36584e+08;-3.45823;-12.6874
2.3713e+08;-3.46494;-12.714
2.37676e+08;-3.49379;-12.7203
2.38224e+08;-3.50987;-12.769
2.38773e+08;-3.51668;-12.7957
2.39324e+08;-3.51948;-12.8108
2.39875e+08;-3.55905;-12.8384
2.40428e+08;-3.56252;-12.853
2.40983e+08;-3.57287;-12.8919
2.41538e+08;-3.57918;-12.9193
2.42095e+08;-3.61477;-12.9353
2.42653e+08;-3.62244;-12.9617
2.43212e+08;-3.62883;-12.9892
2.43773e+08;-3.66967;-13.0234
2.44335e+08;-3.68168;-13.0617
2.44898e+08;-3.68527;-13.0765
2.45463e+08;-3.71965;-13.0937
2.46029e+08;-3.7318;-13.1321
2.46596e+08;-3.73972;-13.1587
2.47164e+08;-3.74138;-13.1751
2.47734e+08;-3.78148;-13.2032
2.48305e+08;-3.78816;-13.231
