frequency;r S[1,1];i S[1,1];;;;;;
4,88E+14;0.00396291;0.0162658;0.0961837;-0.29124;0.0961837;-0.29124;0.0961837;-0.29124
4,90E+14;0.0039818;0.0168342;0.0961838;-0.29125;0.0961838;-0.29125;0.0961838;-0.29125
4,91E+14;0.00400128;0.0174006;0.0961839;-0.29126;0.0961839;-0.29126;0.0961839;-0.29126
4,93E+14;0.00402133;0.0179652;0.0961840;-0.29127;0.0961840;-0.29127;0.0961840;-0.29127
4,95E+13;0.00404196;0.018528;0.0961841;-0.29128;0.0961841;-0.29128;0.0961841;-0.29128
4,97E+14;0.00406315;0.0190889;0.0961842;-0.29129;0.0961842;-0.29129;0.0961842;-0.29129
4,99E+14;0.0040849;0.0196479;0.0961843;-0.29130;0.0961843;-0.29130;0.0961843;-0.29130
5,00E+14;0.00410721;0.0202052;0.0961844;-0.29131;0.0961844;-0.29131;0.0961844;-0.29131
5,02E+14;0.00413007;0.0207607;0.0961845;-0.29132;0.0961845;-0.29132;0.0961845;-0.29132
5,04E+14;0.00415348;0.0213145;0.0961846;-0.29133;0.0961846;-0.29133;0.0961846;-0.29133
5,06E+14;0.00417743;0.0218665;0.0961847;-0.29134;0.0961847;-0.29134;0.0961847;-0.29134
5,08E+14;0.00420191;0.0224167;0.0961848;-0.29135;0.0961848;-0.29135;0.0961848;-0.29135
5,09E+14;0.00422692;0.0229653;0.0961849;-0.29136;0.0961849;-0.29136;0.0961849;-0.29136
5,11E+14;0.00425246;0.0235121;0.0961850;-0.29137;0.0961850;-0.29137;0.0961850;-0.29137
5,13E+14;0.00427852;0.0240573;0.0961851;-0.29138;0.0961851;-0.29138;0.0961851;-0.29138
5,15E+13;0.0043051;0.0246008;0.0961852;-0.29139;0.0961852;-0.29139;0.0961852;-0.29139
5,17E+14;0.00433219;0.0251427;0.0961853;-0.29140;0.0961853;-0.29140;0.0961853;-0.29140
5,18E+14;0.00435978;0.025683;0.0961854;-0.29141;0.0961854;-0.29141;0.0961854;-0.29141
5,20E+13;0.00438788;0.0262216;0.0961855;-0.29142;0.0961855;-0.29142;0.0961855;-0.29142
